Boro-Block-Lot,Scaled Ratiness,BBLID
1-00643-7501,0.066666667,1006437501
1-00690-7501,0.1,1006907501
1-00691-7501,0.2,1006917501
1-00693-7501,0.066666667,1006937501
1-00694-7501,0.066666667,1006947501
1-00695-7502,0.066666667,1006957502
1-00695-7503,0.066666667,1006957503
1-00695-7504,0.066666667,1006957504
1-00695-7505,0.066666667,1006957505
1-00695-7506,0.2,1006957506
1-00696-7502,0.066666667,1006967502
1-00716-7501,0.066666667,1007167501
1-00716-7502,0.1,1007167502
1-00716-7503,0.1,1007167503
1-00716-7504,0.1,1007167504
1-00716-7505,0.2,1007167505
1-00717-7501,0.066666667,1007177501
1-00718-7501,#DIV/0!,1007187501
1-00719-0020,3.066666667,1007190020
1-00720-7501,0.066666667,1007207501
1-00720-7502,0.066666667,1007207502
1-00721-7501,0.066666667,1007217501
1-00722-0024,0.066666667,1007220024
1-00722-7501,0.066666667,1007227501
1-00723-7501,0.066666667,1007237501
1-00734-7501,0.066666667,1007347501
1-00738-0015,#DIV/0!,1007380015
1-00738-7501,0.066666667,1007387501
1-00738-7502,0.066666667,1007387502
1-00745-7502,1.266666667,1007457502
1-00745-7503,0.066666667,1007457503
1-00746-7502,0.066666667,1007467502
1-00746-7503,0.066666667,1007467503
1-00746-7504,0.066666667,1007467504
1-00746-7505,0.066666667,1007467505
1-00746-7506,0.066666667,1007467506
1-00746-7507,0.2,1007467507
1-00751-7501,0.1,1007517501
1-00753-0048,0.066666667,1007530048
1-00754-0001,0.066666667,1007540001
1-00754-0031,0.066666667,1007540031
1-00759-0030,0.2,1007590030
1-00760-7501,#DIV/0!,1007607501
1-00762-0003,0.066666667,1007620003
1-00762-7501,0.066666667,1007627501
1-00762-7502,0.066666667,1007627502
1-00763-0076,0.066666667,1007630076
1-00764-0007,0.066666667,1007640007
1-00764-0057,0.066666667,1007640057
1-00764-0067,0.066666667,1007640067
1-00764-7501,0.066666667,1007647501
1-00764-7502,0.066666667,1007647502
1-00765-0041,0.066666667,1007650041
1-00766-7501,0.066666667,1007667501
